,Name of bill,Bill no.,Stage,Last activity,Select Committee
22,Takeovers Amendment Bill  Bill - government,234-3C,RA,24 October 2006,
23,Fair Trading Amendment Bill  Bill - government,234-3D,RA,24 October 2006,
24,Appropriation (Parliamentary Expenditure Validation) Bill  Bill - government,88-1,RA,24 October 2006,
25,Manukau City Council (Control of Street Prostitution) Bill  Bill - local,6-1,W,11 October 2006,Local Government and Environment Committee
26,Securities Legislation Bill  Bill - government,234-2,3,10 October 2006,Commerce Committee
27,Child Support Amendment Bill (No 4)  Bill - government,282-2,RA,25 September 2006,Social Services Committee
28,Te Arawa Lakes Settlement Bill  Bill - government,25-2,RA,25 September 2006,Māori Affairs Committee
29,Standards Amendment Bill  Bill - government,276-2A,RA,25 September 2006,
30,Testing Laboratory Registration Amendment Bill  Bill - government,276-2B,RA,25 September 2006,
31,Standards and Conformance Bill  Bill - government,276-1,3,13 September 2006,Commerce Committee
32,Employment Relations Amendment Bill  Bill - government,19-3,RA,13 September 2006,Transport and Industrial Relations Committee
33,Westpac New Zealand Bill  Bill - private,31-2,RA,13 September 2006,Finance and Expenditure Committee
34,KiwiSaver Bill  Bill - government,21-3,RA,07 September 2006,Finance and Expenditure Committee
35,Meat Board Amendment Bill  Bill - government,30-2,RA,07 September 2006,Primary Production Committee
36,Education (Trustee Ineligibility) Amendment Bill  Bill - member's,197-1,W,06 September 2006,Education and Science Committee
37,Sex Offenders Registry Bill  Bill - member's,36-1,CH,05 September 2006,Justice and Electoral Committee
38,Coroners Bill  Bill - government,228-3,RA,29 August 2006,Justice and Electoral Committee
39,Human Rights (Gender Identity) Amendment Bill  Bill - member's,225-1,SC,23 August 2006,
40,Local Government (Rating Cap) Amendment Bill  Bill - member's,35-1,W,23 August 2006,
41,Protected Objects Amendment Bill  Bill - government,243-3,RA,09 August 2006,Government Administration Committee
42,Appropriation (2006/07 Estimates) Bill  Bill - government,49-1,RA,03 August 2006,
43,Imprest Supply (Second for 2006/07) Bill  Bill - government,68-1,RA,03 August 2006,
44,Gisborne District Council (Alfred Cox Park) Validation Bill  Bill - local,277-2,RA,02 August 2006,Local Government and Environment Committee
45,Criminal Proceeds and Instruments Bill  Bill - government,279-1,SC,12 July 2006,
46,Historic Places Amendment Bill  Bill - government,162-3,RA,30 June 2006,Government Administration Committee
47,Housing Restructuring and Tenancy Matters (Information Matching) Amendment Bill  Bill - government,8-3,RA,30 June 2006,Social Services Committee
48,Trustees Executors Limited Amendment Bill  Bill - private,16-2,RA,30 June 2006,Commerce Committee
49,New Zealand Superannuation and Retirement Income Amendment Bill  Bill - government,22-2A,RA,30 June 2006,
0,War Pensions Amendment Bill  Bill - government,22-2B,RA,30 June 2006,
1,Consumer's Right to Know (Food Information) Bill  Bill - member's,37-1,W,28 June 2006,
2,Human Rights (One Law For All) Amendment Bill  Bill - member's,60-1,W,28 June 2006,
3,Dog Control Amendment Bill  Bill - government,32-4A,RA,27 June 2006,
4,Litter Amendment Bill  Bill - government,32-4B,RA,27 June 2006,
5,Local Electoral Amendment Bill  Bill - government,32-4C,RA,27 June 2006,
6,Local Government Act 2002 Amendment Bill  Bill - government,32-4D,RA,27 June 2006,
7,Local Government Act 1974 Amendment Bill  Bill - government,32-4E,RA,27 June 2006,
8,Local Government (Rating) Amendment Bill  Bill - government,32-4F,RA,27 June 2006,
9,Rates Rebate Amendment Bill  Bill - government,32-4G,RA,27 June 2006,
10,Land Transport Amendment Bill (No 2)  Bill - government,32-4H,RA,27 June 2006,
11,Appropriation (2005/06 Supplementary Estimates) Bill  Bill - government,50-1,RA,22 June 2006,
12,Imprest Supply (First for 2006/07) Bill  Bill - government,61-1,RA,22 June 2006,
13,Local Government Law Reform Bill  Bill - government,32-3,3,21 June 2006,Local Government and Environment Committee
14,Resource Management (Security for Costs) Amendment Bill  Bill - member's,47-1,W,14 June 2006,
15,New Zealand Superannuation and Veterans' Pensions (Entitlements of Spouses and Partners of People in Long-term Residential Care and Remedial Matters) Bill  Bill - government,22-1,3,13 June 2006,Social Services Committee
16,Law Practitioners (Corporatisation) Amendment Bill  Bill - member's,284-1,CH,17 May 2006,Justice and Electoral Committee
17,Dog Control (Cancellation of Microchipping Requirements) Amendment Bill  Bill - member's,40-1,W,17 May 2006,
18,Education Amendment Bill  Bill - government,236-3,RA,16 May 2006,Education and Science Committee
19,Manfeild Park Bill  Bill - private,286-2,RA,16 May 2006,Local Government and Environment Committee
20,Dog Control (Epilepsy Assist Dogs) Amendment Bill  Bill - member's,44-1,SC,09 May 2006,
21,New Zealand Sign Language Bill  Bill - government,124-3,RA,10 April 2006,Justice and Electoral Committee
22,New Zealand Council of Law Reporting Amendment Bill  Bill - government,261-1,RA,09 April 2006,Government Administration Committee
23,Judicature Amendment Bill (No 3)  Bill - government,262-3,RA,09 April 2006,Government Administration Committee
24,Legal Services Amendment Bill (No 2)  Bill - government,265-3,RA,09 April 2006,Justice and Electoral Committee
25,Appropriation (2004/05 Financial Review) Bill  Bill - government,7-1,RA,09 April 2006,
26,Crimes Amendment Bill  Bill - government,41-3A,RA,09 April 2006,
27,Customs and Excise Amendment Bill  Bill - government,41-3B,RA,09 April 2006,
28,District Courts Amendment Bill (No 2)  Bill - government,41-3C,RA,09 April 2006,
29,Immigration Amendment Bill  Bill - government,41-3D,RA,09 April 2006,
30,Misuse of Drugs Amendment Bill  Bill - government,41-3E,RA,09 April 2006,
31,Privacy Amendment Bill  Bill - government,41-3F,RA,09 April 2006,
32,Sentencing Amendment Bill  Bill - government,41-3G,RA,09 April 2006,
33,Summary Proceedings Amendment Bill  Bill - government,41-3H,RA,09 April 2006,
34,Tax Administration Amendment Bill  Bill - government,41-3I,RA,09 April 2006,
35,Tariff (Trans-Pacific Strategic Economic Partnership) Amendment Bill  Bill - government,20-1,RA,06 April 2006,"Foreign Affairs, Defence and Trade Committee"
36,"Children, Young Persons, and Their Families Amendment Bill (No 2)  Bill - government",287-1,3,05 April 2006,Social Services Committee
37,Residential Tenancies Amendment Bill  Bill - government,188-2,CH,04 April 2006,Social Services Committee
38,"Taxation (Depreciation, Payment Dates Alignment, FBT, and Miscellaneous Provisions) Bill  Bill - government",268-3,RA,03 April 2006,Finance and Expenditure Committee
39,Courts and Criminal Matters Bill  Bill - government,41-2,3,28 March 2006,Law and Order Committee
40,Lawyers and Conveyancers Bill  Bill - government,59-3,RA,20 March 2006,Justice and Electoral Committee
41,Land Transport Amendment Bill  Bill - government,17-2,RA,20 March 2006,Transport and Industrial Relations Committee
42,New Zealand Public Health and Disability (Enhancement of Competition) Amendment Bill  Bill - member's,11-1,W,15 March 2006,
43,Police Amendment Bill (No 2)  Bill - government,145-1,CH,08 March 2006,
44,Treaty of Waitangi (Principles) Bill  Bill - member's,10-1,W,22 February 2006,
45,Veterinarians Bill  Bill - government,246-2,RA,21 December 2005,Primary Production Committee
46,Hazardous Substances and New Organisms (Approvals and Enforcement) Amendment Bill  Bill - government,244-2,RA,21 December 2005,Education and Science Committee
47,Subordinate Legislation (Confirmation and Validation) Bill  Bill - government,2-1,RA,21 December 2005,Regulations Review Committee
48,Taxation (Annual Rates of Income Tax 2005-06) Bill  Bill - government,,RA,21 December 2005,
49,Taxation (Urgent Measures) Bill  Bill - government,,RA,21 December 2005,
0,Student Loan Scheme Amendment Bill  Bill - government,,RA,21 December 2005,
1,Biosecurity (Status of Specified Ports) Amendment Bill  Bill - government,12-1,RA,21 December 2005,
2,Animal Welfare Amendment Bill  Bill - government,,RA,14 December 2005,
3,Biosecurity Amendment Bill  Bill - government,,RA,14 December 2005,
4,Cadastral Survey Amendment Bill  Bill - government,,RA,14 December 2005,
5,Child Support Amendment Bill  Bill - government,,RA,14 December 2005,
6,Civil Aviation Amendment Bill  Bill - government,,RA,14 December 2005,
7,Commerce Amendment Bill  Bill - government,,RA,14 December 2005,
8,Continental Shelf Amendment Bill  Bill - government,,RA,14 December 2005,
9,Corrections Amendment Bill  Bill - government,,RA,14 December 2005,
10,Criminal Investigations (Bodily Samples) Amendment Bill  Bill - government,,RA,14 December 2005,
11,Dairy Industry Restructuring Amendment Bill  Bill - government,,RA,14 December 2005,
12,Defence Amendment Bill  Bill - government,,RA,14 December 2005,
13,District Courts Amendment Bill  Bill - government,,RA,14 December 2005,
14,"Flags, Emblems, and Names Protection Amendment Bill  Bill - government",,RA,14 December 2005,
15,Forests Amendment Bill  Bill - government,,RA,14 December 2005,
16,Gambling Amendment Bill  Bill - government,,RA,14 December 2005,
17,Government Superannuation Fund Amendment Bill  Bill - government,,RA,14 December 2005,
18,Incorporated Societies Amendment Bill  Bill - government,,RA,14 December 2005,
19,Judicature Amendment Bill  Bill - government,,RA,14 December 2005,
20,Maritime Transport Amendment Bill  Bill - government,,RA,14 December 2005,
21,Ombudsmen Amendment Bill  Bill - government,,RA,14 December 2005,
22,Personal Property Securities Amendment Bill  Bill - government,,RA,14 December 2005,
23,Radiocommunications Amendment Bill  Bill - government,,RA,14 December 2005,
24,Receiverships Amendment Bill  Bill - government,,RA,14 December 2005,
25,Retirement Villages Amendment Bill  Bill - government,,RA,14 December 2005,
26,Ship Registration Amendment Bill  Bill - government,,RA,14 December 2005,
27,"Territorial Sea, Contiguous Zone, and Exclusive Economic Zone Amendment Bill  Bill - government",,RA,14 December 2005,
28,Trade Marks Amendment Bill  Bill - government,,RA,14 December 2005,
29,Valuers Amendment Bill  Bill - government,,RA,14 December 2005,
30,Weights and Measures Amendment Bill  Bill - government,,RA,14 December 2005,
31,Wine Amendment Bill  Bill - government,,RA,14 December 2005,
32,Taxation (Annual Rates and Urgent Measures) Bill  Bill - government,1-2,3,13 December 2005,Finance and Expenditure Committee
33,Statutes Amendment Bill (No 5)  Bill - government,249-2,3,08 December 2005,Government Administration Committee
34,Marriage (Gender Clarification) Amendment Bill  Bill - member's,259-1,W,08 December 2005,
35,Legal Services (Territorial Customary Rights) Amendment Bill  Bill - member's,273-1,SC,05 December 2005,
36,Imprest Supply (Third for 2005/06) Bill  Bill - government,4-1,RA,28 November 2005,
37,Members of Parliament (Pecuniary Interests) Bill  Bill - government,81-2,CH,10 August 2005,Standing Orders Committee
38,Appropriation (2005/06 Estimates) Bill  Bill - government,267-1,RA,09 August 2005,
39,Imprest Supply (Second for 2005/06) Bill  Bill - government,283-1,RA,09 August 2005,
40,Resource Management Amendment Bill (No 5)  Bill - government,,RA,09 August 2005,
41,Electricity Amendment Bill (No 3)  Bill - government,,RA,09 August 2005,
42,Resource Management and Electricity Legislation Amendment Bill  Bill - government,237-2,3,03 August 2005,Local Government and Environment Committee
43,Smoke-free Environments (Exemptions) Amendment Bill  Bill - member's,252-1,W,27 July 2005,
44,"New Zealand Nuclear Free Zone, Disarmament, and Arms Control (Nuclear Propulsion Reform) Amendment Bill  Bill - member's",274-1,W,27 July 2005,
45,Ngaa Rauru Kiitahi Claims Settlement Bill  Bill - government,245-2,RA,27 June 2005,Māori Affairs Committee
46,Misuse of Drugs Amendment Bill (No 3)  Bill - government,186-2,RA,21 June 2005,Health Committee
47,Overseas Investment Bill  Bill - government,222-2,RA,21 June 2005,Finance and Expenditure Committee
48,Taxation (Base Maintenance and Miscellaneous Provisions) Bill  Bill - government,231-2,RA,21 June 2005,Finance and Expenditure Committee
49,Terrorism Suppression Amendment Bill (No 2)  Bill - government,242-1,RA,21 June 2005,"Foreign Affairs, Defence and Trade Committee"
0,Tariff (New Zealand-Thailand Closer Economic Partnership) Bill  Bill - government,263-1,RA,21 June 2005,"Foreign Affairs, Defence and Trade Committee"
1,Privacy Amendment Bill (No 3)  Bill - government,,RA,21 June 2005,
2,New Zealand Guardian Trust Company Amendment Bill  Bill - private,208-2,RA,16 June 2005,Commerce Committee
3,Appropriation (2004/05 Supplementary Estimates) Bill  Bill - government,266-1,RA,16 June 2005,
4,Imprest Supply (First for 2005/06) Bill  Bill - government,275-1,RA,16 June 2005,
5,Principles of the Treaty of Waitangi Deletion Bill  Bill - member's,247-1,1,08 June 2005,
6,Prisoners' and Victims' Claims Bill  Bill - government,241-2,RA,03 June 2005,Justice and Electoral Committee
7,Ngati Tuwharetoa (Bay of Plenty) Claims Settlement Bill  Bill - government,220-3,RA,23 May 2005,Māori Affairs Committee
8,Medicines (Specified Biotechnical Procedures) Amendment Bill  Bill - government,254-1,RA,23 May 2005,Health Committee
9,Armed Forces Discipline Amendment Bill (No 2)  Bill - government,,RA,16 May 2005,
10,Conservation Amendment Bill (No 3)  Bill - government,,RA,16 May 2005,
11,Constitution Amendment Bill  Bill - government,,RA,16 May 2005,
12,Defence Amendment Bill (No 3)  Bill - government,,RA,16 May 2005,
13,Electoral Amendment Bill (No 2)  Bill - government,,RA,16 May 2005,
14,Evidence Amendment Bill  Bill - government,,RA,16 May 2005,
15,Fire Service Amendment Bill (No 2)  Bill - government,,RA,16 May 2005,
16,Forest and Rural Fires Amendment Bill  Bill - government,,RA,16 May 2005,
17,Geneva Conventions Amendment Bill  Bill - government,,RA,16 May 2005,
18,Government Superannuation Fund Amendment Bill (No 5)  Bill - government,,RA,16 May 2005,
19,Health and Disability Services (Safety) Amendment Bill (No 2)  Bill - government,,RA,16 May 2005,
20,Judicature Amendment Bill (No 4)  Bill - government,,RA,16 May 2005,
21,Land Transfer Amendment Bill  Bill - government,,RA,16 May 2005,
22,Maritime Transport Amendment Bill (No 2)  Bill - government,,RA,16 May 2005,
23,Medicines Amendment Bill (No 4)  Bill - government,,RA,16 May 2005,
24,Motor Vehicle Sales Amendment Bill  Bill - government,,RA,16 May 2005,
25,National Parks Amendment Bill  Bill - government,,RA,16 May 2005,
26,New Zealand Public Health and Disability Amendment Bill (No 2)  Bill - government,,RA,16 May 2005,
27,Ngai Tahu Claims Settlement Amendment Bill  Bill - government,,RA,16 May 2005,
28,Patriotic and Canteen Funds Amendment Bill  Bill - government,,RA,16 May 2005,
29,Racing Amendment Bill  Bill - government,,RA,16 May 2005,
30,Radiocommunications Amendment Bill (No 2)  Bill - government,,RA,16 May 2005,
31,Reserves Amendment Bill  Bill - government,,RA,16 May 2005,
32,Sale of Liquor Amendment Bill (No 4)  Bill - government,,RA,16 May 2005,
33,Telecommunications Amendment Bill  Bill - government,,RA,16 May 2005,
34,Trade in Endangered Species Amendment Bill  Bill - government,,RA,16 May 2005,
35,Statutes Amendment Bill (No 4)  Bill - government,102-2,3,10 May 2005,Government Administration Committee
36,"Injury Prevention, Rehabilitation, and Compensation Amendment Bill (No 3)  Bill - government",165-3,RA,10 May 2005,Health Committee
37,Railways Bill  Bill - government,65-2,RA,20 April 2005,Transport and Industrial Relations Committee
38,Registered Architects Bill  Bill - government,82-2,,20 April 2005,Government Administration Committee
39,Crimes Amendment Bill (No 2)  Bill - government,104-2,RA,20 April 2005,Law and Order Committee
40,Charities Bill  Bill - government,108-2,RA,20 April 2005,Social Services Committee
41,Public Records Bill  Bill - government,189-2,RA,20 April 2005,Government Administration Committee
42,Gambling Amendment Bill  Bill - government,235-2,RA,20 April 2005,Government Administration Committee
43,Fiordland (Te Moana o Atawhenua) Marine Management Bill  Bill - government,239-2,,20 April 2005,Fisheries and Other Sea-related Legislation Committee
44,Citizenship Amendment Bill (No 2)  Bill - government,,RA,20 April 2005,
45,Passports Amendment Bill (No 2)  Bill - government,,RA,20 April 2005,
46,Identity (Citizenship and Travel Documents) Bill  Bill - government,148-2,3,14 April 2005,Government Administration Committee
47,Social Security (Social Assistance) Amendment Bill  Bill - government,193-2,RA,14 April 2005,Social Services Committee
48,Building Amendment Bill (No 3)  Bill - government,,RA,14 April 2005,
49,Commerce Amendment Bill (No 4)  Bill - government,,RA,14 April 2005,
0,Copyright Amendment Bill  Bill - government,,RA,14 April 2005,
1,Legislation (Incorporation by Reference) Bill  Bill - government,250-1,3,13 April 2005,Government Administration Committee
2,Appropriation (2003/04 Financial Review) Bill  Bill - government,232-1,RA,04 April 2005,
3,Wellington Regional Council (Water Board Functions) Bill  Bill - local,139-2,RA,24 March 2005,Local Government and Environment Committee
4,Relationships (Statutory References) Bill  Bill - government,151-3,RA,24 March 2005,Justice and Electoral Committee
5,Ngati Awa Claims Settlement Bill  Bill - government,175-3,RA,24 March 2005,Māori Affairs Committee
6,Te Runanga o Ngati Awa Bill  Bill - private,176-2,RA,24 March 2005,Māori Affairs Committee
7,Administration Amendment Bill (No 2)  Bill - government,151-3A,RA,24 March 2005,
8,Care of Children Amendment Bill  Bill - government,151-3B,RA,24 March 2005,
9,Child Support Amendment Bill (No 3)  Bill - government,151-3C,RA,24 March 2005,
10,Deaths by Accidents Compensation Amendment Bill  Bill - government,151-3D,RA,24 March 2005,
11,Estate and Gift Duties Amendment Bill  Bill - government,151-3E,RA,24 March 2005,
12,Goods and Services Tax Amendment Bill  Bill - government,151-3F,RA,24 March 2005,
13,Government Superannuation Fund Amendment Bill (No 4)  Bill - government,151-3G,RA,24 March 2005,
14,Income Tax Amendment Bill  Bill - government,151-3H,RA,24 March 2005,
15,"Injury Prevention, Rehabilitation, and Compensation Amendment Bill (No 4)  Bill - government",151-3I,RA,24 March 2005,
16,Interpretation Amendment Bill  Bill - government,151-3J,RA,24 March 2005,
17,Life Insurance Amendment Bill (No 2)  Bill - government,151-3K,RA,24 March 2005,
18,Marriage Amendment Bill  Bill - government,151-3L,RA,24 March 2005,
19,Minors' Contracts Amendment Bill  Bill - government,151-3M,RA,24 March 2005,
20,New Zealand Superannuation Amendment Bill (No 2)  Bill - government,151-3N,RA,24 March 2005,
21,Parental Leave and Employment Protection Amendment Bill (No 2)  Bill - government,151-3O,RA,24 March 2005,
22,Property (Relationships) Amendment Bill  Bill - government,151-3P,RA,24 March 2005,
23,Real Estate Agents Amendment Bill  Bill - government,151-3Q,RA,24 March 2005,
24,Social Security Amendment Bill  Bill - government,151-3R,RA,24 March 2005,
25,Tax Administration Amendment Bill  Bill - government,151-3S,RA,24 March 2005,
26,Trustee Amendment Bill  Bill - government,151-3T,RA,24 March 2005,
27,War Pensions Amendment Bill (No 3)  Bill - government,151-3U,RA,24 March 2005,
28,Wills Amendment Bill  Bill - government,151-3V,RA,24 March 2005,
29,Animal Products (Ancillary and Transitional Provisions) Amendment Bill (No 2)  Bill - government,123-3B,RA,24 March 2005,
30,Animal Products Amendment Bill (No 2)  Bill - government,123-3A,RA,24 March 2005,
31,Hazardous Substances and New Organisms (Genetically Modified Organisms Moratorium Reinstatement) Amendment Bill  Bill - member's,132-1,W,16 March 2005,
32,Sentencing (Community Sentencing to Fit the Crime) Amendment Bill  Bill - member's,196-1,W,16 March 2005,
33,Animal Products (Dairy Products and Other Matters) Bill  Bill - government,123-2,3,10 March 2005,Primary Production Committee
34,"Films, Videos, and Publications Classification Amendment Bill  Bill - government",91-3,RA,21 February 2005,Government Administration Committee
35,Customs and Excise (Motor Spirits) Amendment Bill  Bill - government,173-2,RA,21 February 2005,Finance and Expenditure Committee
36,Crimes (Drug Rape) Amendment Bill  Bill - member's,67-1,W,09 February 2005,Law and Order Committee
37,Subordinate Legislation (Confirmation and Validation) Bill (No 3)  Bill - government,204-2,RA,21 December 2004,Regulations Review Committee
38,Resource Management Amendment Bill (No 4)  Bill - government,,RA,21 December 2004,
39,Fisheries Amendment Bill (No 5)  Bill - government,,RA,21 December 2004,
40,Conservation Amendment Bill (No 2)  Bill - government,,RA,21 December 2004,
41,Biosecurity Amendment Bill (No 3)  Bill - government,,RA,21 December 2004,
42,Maori Commercial Aquaculture Claims Settlement Bill  Bill - government,,RA,21 December 2004,
43,Te Ture Whenua Maori Amendment Bill (No 3)  Bill - government,,RA,21 December 2004,
44,Aquaculture Reform (Repeals and Transitional Provisions) Bill  Bill - government,,RA,21 December 2004,
45,Taxation (Annual Rates of Income Tax 2004-05) Bill  Bill - government,,RA,21 December 2004,
46,Taxation (Venture Capital and Miscellaneous Provisions) Bill  Bill - government,,RA,21 December 2004,
47,Public Finance Amendment Bill  Bill - government,,RA,21 December 2004,
48,State Sector Amendment Bill (No 4)  Bill - government,,RA,21 December 2004,
49,Crown Entities Bill  Bill - government,,RA,21 December 2004,
0,State-Owned Enterprises Amendment Bill  Bill - government,,RA,21 December 2004,
1,Public Finance (State Sector Management) Bill  Bill - government,99-2,3,16 December 2004,Finance and Expenditure Committee
2,"Taxation (Annual Rates, Venture Capital and Miscellaneous Provisions) Bill  Bill - government",110-2,3,15 December 2004,Finance and Expenditure Committee
3,Aquaculture Reform Bill  Bill - government,181-2,3,15 December 2004,Primary Production Committee
4,Civil Union Bill  Bill - government,149-2,RA,13 December 2004,Justice and Electoral Committee
5,Social Security (Long-term Residential Care) Amendment Bill  Bill - government,103-3,RA,06 December 2004,Social Services Committee
6,Electoral Amendment Bill  Bill - government,157-3A,RA,06 December 2004,
7,Broadcasting Amendment Bill (No 2)  Bill - government,157-3B,RA,06 December 2004,
8,Electoral Matters Bill  Bill - government,157-2,3,30 November 2004,Justice and Electoral Committee
9,Land Transport Amendment Bill (No 2)  Bill - government,172-3B,RA,30 November 2004,
10,Civil Aviation Amendment Bill (No 2)  Bill - government,172-3A,RA,30 November 2004,
11,Maritime Transport Amendment Bill  Bill - government,172-3D,RA,30 November 2004,
12,Land Transport Management Amendment Bill  Bill - government,172-3C,RA,30 November 2004,
13,Assisted Human Reproduction Bill  Bill - government,227-1,3,24 November 2004,Health Committee
14,Foreshore and Seabed Bill  Bill - government,129-1,RA,24 November 2004,Fisheries and Other Sea-related Legislation Committee
15,Resource Management (Foreshore and Seabed) Amendment Bill  Bill - government,,RA,24 November 2004,
16,Human Assisted Reproductive Technology Bill  Bill - member's,195-3,RA,21 November 2004,Health Committee
17,Care of Children Bill  Bill - government,54-3,RA,21 November 2004,Justice and Electoral Committee
18,Status of Children Amendment Bill  Bill - government,54-3A,RA,21 November 2004,
19,Transport Legislation Bill  Bill - government,172-2,3,16 November 2004,Transport and Industrial Relations Committee
20,Parental Leave and Employment Protection Amendment Bill  Bill - government,136-3,RA,08 November 2004,Social Services Committee
21,Employment Relations Amendment Bill (No 2)  Bill - government,92-3A,RA,28 October 2004,
22,Health and Safety in Employment Amendment Bill (No 2)  Bill - government,92-3B,RA,28 October 2004,
23,Human Rights Amendment Bill  Bill - government,92-3C,RA,28 October 2004,
24,Holidays Amendment Bill  Bill - government,182-3,RA,21 October 2004,Transport and Industrial Relations Committee
25,Electricity Amendment Bill (No 2)  Bill - government,86-3A,RA,17 October 2004,
26,Electricity Industry Reform Amendment Bill  Bill - government,86-3B,RA,17 October 2004,
27,Commerce Amendment Bill (No 3)  Bill - government,86-3C,RA,17 October 2004,
28,Gas Amendment Bill (No 2)  Bill - government,86-3D,RA,17 October 2004,
29,Crown Minerals Amendment Bill (No 2)  Bill - government,86-3E,RA,17 October 2004,
30,Employment Relations Law Reform Bill  Bill - government,92-2,3,14 October 2004,Transport and Industrial Relations Committee
31,Electricity and Gas Industries Bill  Bill - government,86-2,3,12 October 2004,Commerce Committee
32,Maori Fisheries Bill  Bill - government,90-3,RA,25 September 2004,Fisheries and Other Sea-related Legislation Committee
33,Te Ture Whenua Maori Amendment Bill (No 2) Maori Land Amendment Bill (No 2)  Bill - government,90-3A,RA,25 September 2004,
34,Resource Management (Waitaki Catchment) Amendment Bill  Bill - government,96-3,RA,16 September 2004,Local Government and Environment Committee
35,Education (School Boards of Trustees Single Transferable Vote Option) Amendment Bill  Bill - member's,134-1,W,08 September 2004,
36,Fisheries Amendment Bill (No 3)  Bill - government,109-2,RA,06 September 2004,Primary Production Committee
37,Education (Export Education Levy) Amendment Bill  Bill - government,101-3,RA,30 August 2004,Education and Science Committee
38,Appropriation (2004/05 Estimates) Bill  Bill - government,141-1,RA,30 August 2004,
39,Imprest Supply (Second for 2004/05) Bill  Bill - government,177-1,RA,30 August 2004,
40,Misuse of Drugs (Industrial Hemp) Amendment Bill  Bill - member's,117-1,W,25 August 2004,Primary Production Committee
41,Building Bill  Bill - government,78-3,RA,24 August 2004,Government Administration Committee
42,Wellington City Council (Te Aro Reclamation) Amendment Bill  Bill - local,43-2,RA,12 August 2004,Local Government and Environment Committee
43,Fisheries Amendment Bill (No 4)  Bill - government,109-3A,RA,12 August 2004,Primary Production Committee
44,Goods and Services Tax (Exclusion of Rates) Amendment Bill  Bill - member's,160-1,W,04 August 2004,
45,Secondhand Dealers and Pawnbrokers Bill  Bill - government,52-2,RA,06 July 2004,Law and Order Committee
46,Mercenary Activities (Prohibition) Bill  Bill - government,83-2,RA,06 July 2004,"Foreign Affairs, Defence and Trade Committee"
47,Chatham Islands Council Amendment Bill (No 2)  Bill - government,,RA,06 July 2004,
48,Local Electoral Amendment Bill (No 2)  Bill - government,,RA,06 July 2004,
49,Dog Control Amendment Bill (No 2)  Bill - government,,RA,06 July 2004,
0,Local Government Act 2002 Amendment Bill  Bill - government,,RA,06 July 2004,
1,Local Government Act 1974 Amendment Bill  Bill - government,,RA,06 July 2004,
2,Local Government Official Information and Meetings Amendment Bill (No 2)  Bill - government,,RA,06 July 2004,
3,Local Government (Rating) Amendment Bill (No 2)  Bill - government,,RA,06 July 2004,
4,Parole (Extended Supervision) Amendment Bill  Bill - government,,RA,06 July 2004,
5,Sentencing Amendment Bill (No 2)  Bill - government,,RA,06 July 2004,
6,Visiting Forces Bill  Bill - government,89-3,RA,01 July 2004,"Foreign Affairs, Defence and Trade Committee"
7,Local Government (Auckland) Amendment Bill  Bill - government,113-2,RA,01 July 2004,Transport and Industrial Relations Committee
8,Customs and Excise Amendment Bill  Bill - government,53-3A,RA,01 July 2004,
9,Immigration Amendment Bill (No 3)  Bill - government,53-3B,RA,01 July 2004,
10,Parole (Extended Supervision) and Sentencing Amendment Bill  Bill - government,88-2,3,30 June 2004,Justice and Electoral Committee
11,Local Government Law Reform Bill (No 3)  Bill - government,111-2,3,30 June 2004,Local Government and Environment Committee
12,Appropriation (2003/04 Supplementary Estimates) Bill  Bill - government,144-1,RA,25 June 2004,
13,Imprest Supply (First for 2004/05) Bill  Bill - government,152-1,RA,25 June 2004,
14,Police Complaints Authority (Conditional Name Protection) Amendment Bill  Bill - member's,23-1,W,23 June 2004,Law and Order Committee
15,Family Courts (Openness of Proceedings) Amendment Bill  Bill - member's,105-1,W,23 June 2004,
16,Treaty of Waitangi (Final Settlement of Claims) Bill (No 2)  Bill - member's,140-1,W,23 June 2004,
17,Border Security Bill  Bill - government,53-2,3,17 June 2004,Government Administration Committee
18,Corrections Bill  Bill - government,34-2,RA,03 June 2004,Law and Order Committee
19,Social Security (Working for Families) Amendment Bill  Bill - government,,RA,03 June 2004,
20,Taxation (Working for Families) Bill  Bill - government,,RA,03 June 2004,
21,Future Directions (Working for Families) Bill  Bill - government,146-1,3,28 May 2004,
22,Forests Amendment Bill  Bill - government,311-3,RA,19 May 2004,Local Government and Environment Committee
23,Clean Slate Bill  Bill - member's,106-1,W,19 May 2004,Justice and Electoral Committee
24,Social Security (Child Benefit) Amendment Bill  Bill - member's,69-1,W,19 May 2004,
25,Police Complaints Authority (Commission of Inquiry into Police Conduct) Amendment Bill  Bill - government,114-3,RA,19 May 2004,Law and Order Committee
26,Commission for the Family Bill  Bill - member's,133-1,W,19 May 2004,
27,Judicial Conduct Commissioner and Judicial Conduct Panel Bill  Bill - government,71-3A,RA,19 May 2004,
28,"Children, Young Persons, and Their Families Amendment Bill (No 3)  Bill - government",71-3B,RA,19 May 2004,
29,Coroners Amendment Bill (No 2)  Bill - government,71-3C,RA,19 May 2004,
30,Courts Martial Appeals Amendment Bill (No 2)  Bill - government,71-3D,RA,19 May 2004,
31,District Courts Amendment Bill (No 3)  Bill - government,71-3E,RA,19 May 2004,
32,Employment Relations Amendment Bill  Bill - government,71-3F,RA,19 May 2004,
33,Family Courts Amendment Bill  Bill - government,71-3G,RA,19 May 2004,
34,Judicature Amendment Bill (No 2)  Bill - government,71-3H,RA,19 May 2004,
